SquareFootage,Bedrooms,Bathrooms,YearBuilt,NeighborhoodQuality,DistanceToCenter,Price
8343.23,2.0,3.64,2017.0,1.0,45.19,1256045.4023999174
5598.27,8.0,2.03,1911.0,8.0,22.94,1159972.3947398092
4839.59,8.0,,1932.0,4.0,2.74,984037.678259957
1105.72,2.0,3.36,1923.0,7.0,44.62,292891.95753463765
9212.59,2.0,4.31,1983.0,2.0,27.09,1453475.783555617
7414.65,1.0,5.89,1992.0,9.0,11.87,1422150.3457255184
1973.65,2.0,4.3,2019.0,1.0,3.83,424400.97435878846
4741.19,1.0,1.22,1969.0,1.0,49.68,631655.7796222495
9205.77,6.0,5.38,1966.0,5.0,28.06,1623435.8619899503
7484.52,7.0,1.23,1982.0,9.0,21.11,1426355.7487355403
4076.37,8.0,2.13,1918.0,1.0,48.41,654020.5283781686
1773.88,4.0,1.4,1947.0,4.0,19.17,418375.01115735975
875.7,4.0,5.35,2022.0,4.0,48.12,250025.14750143065
9995.93,4.0,4.52,1930.0,5.0,26.92,1734832.0374988443
2984.84,8.0,5.01,1997.0,4.0,20.99,714341.0102164751
2602.1,5.0,3.92,1937.0,6.0,28.7,594757.6366537558
5731.1,6.0,5.11,1982.0,8.0,39.85,1116251.6125290834
7342.98,1.0,5.2,2004.0,1.0,42.21,1126054.0862286477
,8.0,4.09,1978.0,,26.84,667928.0582201122
658.9,,5.07,2003.0,3.0,5.27,315135.0074113814
2323.35,6.0,2.98,1951.0,4.0,11.68,570161.0643686032
8554.74,1.0,2.9,1907.0,3.0,42.34,1303098.5663101468
3647.07,2.0,5.6,2015.0,10.0,2.8,917958.594228974
9293.06,1.0,,1926.0,7.0,15.31,1565306.291629712
5883.61,6.0,4.7,1988.0,9.0,17.62,1231983.7757189947
2705.37,7.0,2.63,2000.0,8.0,27.88,692611.481914852
2264.51,7.0,4.09,1991.0,5.0,35.73,547497.9061619531
7526.73,2.0,5.71,1997.0,3.0,21.83,1264033.41831932
5368.19,2.0,1.47,1941.0,1.0,19.7,833126.2138877676
9060.79,4.0,1.85,1917.0,5.0,3.63,1576008.260695933
4500.47,2.0,5.72,1963.0,4.0,,876212.638456983
4259.07,7.0,2.65,2004.0,10.0,16.37,1000056.3765891829
2408.09,7.0,2.46,1962.0,4.0,14.37,573176.63077669
3967.65,4.0,3.73,,8.0,10.88,879962.9455325407
8397.18,7.0,1.7,1932.0,7.0,4.16,1566463.8104052243
5052.73,7.0,4.95,2014.0,10.0,4.71,1206191.2678955235
6747.22,1.0,4.23,2023.0,7.0,5.38,1286788.768647629
7595.1,4.0,2.96,1975.0,3.0,1.72,1344112.0307805235
4451.77,2.0,4.65,1943.0,4.0,17.74,816880.4594806437
7358.94,2.0,5.05,2008.0,2.0,8.64,1244853.6244012732
2817.17,3.0,3.13,2002.0,3.0,33.04,513781.0290081299
7505.19,8.0,2.94,1926.0,2.0,40.08,1242045.2892636831
3975.03,2.0,5.31,1981.0,7.0,29.56,826500.2152945907
8532.42,5.0,3.95,1940.0,5.0,18.98,1559713.9723598207
4190.4,7.0,3.43,2017.0,3.0,24.74,811503.3576603975
3488.51,1.0,5.76,1924.0,9.0,25.0,820509.984602709
4448.49,8.0,3.83,1928.0,5.0,14.79,958813.526452398
5873.68,8.0,1.57,1999.0,6.0,37.96,1078342.868769587
4692.98,7.0,5.15,1938.0,1.0,17.75,878967.9613303947
4671.16,4.0,4.69,2010.0,7.0,7.39,1018688.538307399
2465.96,6.0,3.98,2025.0,5.0,47.64,509981.62178193644
9051.48,3.0,4.93,1935.0,3.0,7.07,1551559.7208989
3559.92,7.0,3.89,1953.0,2.0,44.07,627297.5467825634
5398.33,6.0,3.44,2011.0,2.0,23.19,950207.6120907948
3903.12,7.0,3.15,1934.0,5.0,29.11,825857.8785001027
5110.71,1.0,4.13,1902.0,3.0,0.53,909607.5221111238
2422.02,3.0,2.51,2012.0,6.0,18.91,562066.9028556177
2072.49,5.0,4.78,1911.0,1.0,4.36,469202.7619321552
5434.72,1.0,5.09,1954.0,8.0,19.46,1066549.0220131585
1473.06,5.0,4.87,1917.0,3.0,28.38,399553.2589545105
2059.11,4.0,1.76,1987.0,4.0,5.47,488620.70028643194
6100.95,7.0,1.7,1910.0,10.0,30.58,1196236.3283310605
7059.52,5.0,4.03,1950.0,1.0,39.79,1109428.4443611004
4165.91,2.0,5.89,2019.0,7.0,28.63,871990.4662340202
6987.95,,1.34,1905.0,7.0,31.61,1189207.0005242429
4446.6,2.0,3.69,1910.0,9.0,48.73,852846.8788437296
3604.13,2.0,3.19,1930.0,2.0,6.24,666383.0775985572
1022.77,3.0,4.54,1920.0,6.0,39.26,311661.49478591274
2086.15,5.0,1.59,1942.0,5.0,13.52,536321.6613398799
6461.56,6.0,5.3,1920.0,2.0,33.87,1123132.78533477
,1.0,3.36,1919.0,1.0,45.74,314602.8612001359
4484.01,7.0,2.6,1973.0,9.0,3.11,1048068.3147215414
5399.85,7.0,3.33,2008.0,2.0,0.89,1018980.7030284742
5856.16,4.0,3.96,1998.0,9.0,,1225410.5000219434
4395.34,6.0,,,7.0,36.5,852913.1889235094
5533.24,8.0,5.86,1935.0,4.0,26.23,1086774.9533779966
4038.67,2.0,3.53,1950.0,10.0,33.29,864105.3091847069
3270.92,7.0,4.68,1934.0,4.0,38.62,686364.3279125518
1503.75,6.0,3.68,1926.0,8.0,6.44,551838.0538941633
7017.52,1.0,5.28,1991.0,6.0,2.92,1309450.4814623857
8290.85,7.0,3.78,1912.0,3.0,3.55,1481453.3203325856
2611.74,7.0,4.15,1974.0,,3.69,733891.0615113943
4712.6,6.0,5.71,2018.0,7.0,19.45,1054221.8136042166
3862.46,5.0,5.42,1979.0,5.0,44.2,761243.7256644143
1333.35,7.0,5.42,1980.0,9.0,49.48,471049.2406849743
3911.57,8.0,3.83,1934.0,6.0,1.95,941253.4292058216
3168.86,8.0,4.83,2024.0,4.0,13.69,782691.3429551895
9213.97,4.0,5.91,2019.0,3.0,29.83,1561292.478908267
7127.45,1.0,2.76,1918.0,4.0,40.61,1094696.9505106898
5650.18,1.0,2.16,1967.0,6.0,10.47,1017053.4889070062
7310.91,6.0,1.74,1918.0,9.0,48.05,1321290.1672377994
9448.27,2.0,2.61,1993.0,8.0,9.12,1661465.4580157183
7088.82,6.0,3.94,1939.0,5.0,36.58,1254040.2914221934
9512.63,1.0,2.59,1978.0,10.0,25.06,1680134.0108014399
1239.16,6.0,5.43,1990.0,6.0,13.63,479680.0429263288
1144.05,2.0,1.24,1953.0,7.0,19.25,342764.619659073
1463.57,4.0,1.37,,5.0,4.17,370806.4898989639
4066.85,2.0,5.93,1990.0,3.0,21.99,752291.6853799856
3645.4,7.0,4.61,1933.0,5.0,2.96,856341.4777291026
8478.62,,1.44,1980.0,4.0,10.74,1394656.2522705274
9782.05,2.0,2.99,1984.0,9.0,18.87,1749983.6695589744
2272.54,8.0,2.13,1907.0,2.0,17.52,479468.8793305905
9721.7,1.0,5.09,1968.0,8.0,12.16,1731974.3326995452
4250.64,1.0,5.5,1986.0,3.0,37.98,725617.1086592914
9851.5,4.0,3.12,1955.0,3.0,13.27,1656934.0993359918
9184.65,7.0,3.76,1966.0,1.0,31.34,1467339.5677323085
4486.14,3.0,3.91,1912.0,10.0,39.39,945398.4562823244
8861.29,5.0,3.43,1904.0,7.0,30.63,1556056.995915294
868.43,6.0,1.25,1934.0,1.0,39.79,136171.87023428074
8507.04,2.0,2.14,1995.0,6.0,21.13,1442397.5521139493
2285.39,7.0,4.8,2005.0,3.0,35.62,514934.39543360204
7914.91,1.0,5.38,1907.0,8.0,18.34,1445813.246842618
3999.34,7.0,1.62,1947.0,8.0,43.59,807578.0312748502
3822.72,5.0,4.44,1949.0,10.0,11.11,948098.2960470736
2638.56,7.0,5.32,,3.0,,653886.7601787688
2897.71,5.0,4.55,2014.0,6.0,11.3,726688.4601178156
5446.06,,6.0,2007.0,10.0,15.27,1209889.2522421803
1106.45,6.0,2.31,2014.0,4.0,38.39,268430.26751759724
8151.58,7.0,4.4,1983.0,5.0,21.22,1509072.500619844
835.53,4.0,4.57,1981.0,6.0,42.35,270398.1830071625
8826.7,2.0,4.7,1971.0,3.0,45.03,1385638.2235744663
2611.41,5.0,5.43,1974.0,2.0,43.39,503966.25809726864
9470.86,4.0,5.34,1938.0,3.0,10.41,1635413.8780160255
5909.33,8.0,5.31,1910.0,3.0,3.37,1168149.0072026912
2489.13,3.0,4.82,1978.0,7.0,48.28,541807.6662446408
858.39,6.0,5.46,1967.0,1.0,12.82,307103.4859801175
3771.32,7.0,2.53,1905.0,5.0,26.25,758707.5286458369
4619.82,3.0,5.51,1924.0,,11.6,1001117.0314553154
,3.0,4.56,1948.0,5.0,31.35,547505.2322894757
955.62,1.0,1.58,1915.0,8.0,10.67,347539.3560710902
588.39,2.0,2.35,1917.0,2.0,31.08,135512.49813149875
7955.22,4.0,5.16,1945.0,5.0,27.63,1403202.4928131492
7037.94,,4.36,2006.0,8.0,4.96,1385203.9317825844
7373.85,5.0,3.28,1933.0,2.0,43.77,1174811.9326288542
3922.04,7.0,1.47,,3.0,8.94,758451.0748361689
4658.29,2.0,2.71,1951.0,5.0,34.65,795590.7843970455
4506.53,3.0,4.48,2020.0,2.0,29.74,782568.9040768489
6944.73,7.0,4.06,2012.0,3.0,24.66,1238085.053981502
4686.53,,5.34,1995.0,10.0,47.81,961035.9760905377
5431.45,2.0,4.63,1984.0,7.0,41.41,989847.4107496317
,3.0,3.35,1921.0,8.0,16.88,655524.9734368264
5315.83,7.0,2.17,2002.0,2.0,22.63,919010.9291674625
5225.05,2.0,1.18,2005.0,10.0,32.06,999383.9607175506
5842.16,8.0,2.82,1928.0,6.0,31.18,1106151.1102134916
6743.09,2.0,,1945.0,5.0,19.01,1156168.2819515916
9020.33,7.0,4.05,2019.0,4.0,39.18,1537991.1527798078
1523.77,2.0,3.25,2022.0,,36.94,400126.74523482047
4611.7,3.0,1.87,1913.0,10.0,16.43,987067.6445400096
4477.32,4.0,5.82,1957.0,3.0,35.15,837130.1821073149
3339.67,6.0,5.68,1925.0,5.0,46.1,691565.5576244914
7248.77,3.0,4.47,1914.0,9.0,28.75,1370694.7945694244
4466.04,5.0,,,3.0,3.3,855351.9986510981
7962.56,5.0,1.31,1926.0,1.0,22.9,1256746.4952873266
6917.5,4.0,3.81,2000.0,5.0,2.83,1288382.8541844848
4457.38,6.0,1.27,1925.0,8.0,45.62,848601.9394748908
6652.51,4.0,5.82,1922.0,2.0,9.1,1205903.8553815538
4083.38,5.0,3.92,1942.0,3.0,46.47,689223.6897514979
7849.78,5.0,3.86,2000.0,9.0,9.6,1557252.809135282
5298.83,7.0,2.11,1942.0,5.0,37.76,938654.2392775045
9968.0,1.0,2.73,1982.0,10.0,2.47,1789177.170808184
4123.04,2.0,3.7,2016.0,6.0,25.68,812787.6631025011
3316.12,6.0,5.74,2022.0,,3.74,877872.940409444
7849.03,7.0,2.03,2012.0,7.0,47.02,1366256.2972557824
1960.67,6.0,1.37,1932.0,10.0,45.59,534155.6826389642
4785.69,,4.37,1982.0,2.0,29.49,811599.7984072962
1189.6,2.0,4.43,1936.0,8.0,41.2,359981.1844277125
1985.07,7.0,5.25,1981.0,6.0,1.05,655747.568372906
1843.05,7.0,5.73,1995.0,6.0,45.33,499910.07432731835
1853.32,5.0,1.91,2009.0,9.0,27.71,547694.7960012662
1139.95,8.0,2.79,1930.0,10.0,10.08,564346.639277468
3619.29,3.0,2.82,1954.0,6.0,11.47,747501.0420481124
4643.18,3.0,2.66,1957.0,5.0,5.89,897186.2123752051
1278.75,3.0,1.98,1980.0,2.0,42.55,204956.47181413436
8220.1,4.0,3.76,1969.0,3.0,11.55,1400109.1317079405
7465.65,8.0,1.45,1901.0,10.0,37.98,1392574.1940665036
2012.61,3.0,3.42,1928.0,4.0,18.79,462576.8081723787
2464.35,6.0,5.59,1905.0,6.0,48.44,579806.9985666309
3098.21,3.0,2.89,2014.0,9.0,48.65,638977.352369433
4355.5,6.0,3.41,1964.0,8.0,4.32,991499.4254157252
2509.41,6.0,5.08,1953.0,2.0,24.2,548892.2490603646
2031.84,1.0,1.64,1917.0,1.0,7.77,332544.73487754015
9263.25,7.0,,1992.0,5.0,11.22,1614715.5433843518
4978.43,4.0,4.0,2005.0,10.0,13.59,1085217.8366812135
3755.38,2.0,2.93,1925.0,9.0,41.41,749475.2927243223
2185.51,1.0,3.66,1911.0,3.0,,465690.1134839701
9408.48,7.0,2.85,1967.0,8.0,19.37,1737292.3432542433
7543.24,2.0,2.27,2016.0,5.0,27.41,1262520.8943480302
551.96,1.0,,1983.0,6.0,5.78,278054.9220505486
6061.02,7.0,4.06,1950.0,7.0,28.1,1185767.7568814596
5811.39,5.0,4.87,1917.0,2.0,22.61,1011240.5595304329
2037.05,7.0,5.0,1987.0,3.0,31.98,489339.80296011415
8320.93,7.0,2.32,1977.0,7.0,20.33,1509219.620416198
3221.46,1.0,5.1,,9.0,2.16,823579.7784050714
5400.23,3.0,2.8,2024.0,5.0,17.98,969686.0358467151
6067.76,2.0,3.75,1971.0,6.0,40.87,1050344.1977136177
9649.04,7.0,2.31,1913.0,9.0,47.38,1704407.083695039
9588.74,5.0,5.83,1998.0,6.0,23.21,1708649.597773147
,2.0,2.91,1928.0,4.0,20.92,506465.67583148414
5588.69,5.0,1.47,2005.0,9.0,24.09,1105785.6598756667
8996.0,4.0,2.0,2011.0,4.0,12.86,1504801.6929217125
1981.96,2.0,4.32,1997.0,1.0,18.87,385445.38722715626
9032.15,5.0,5.92,1935.0,10.0,26.52,1718851.386011727
9426.72,6.0,4.43,2024.0,9.0,,1789073.1414782326
2502.15,6.0,5.31,1933.0,8.0,17.48,707487.353242168
4527.46,6.0,3.0,1973.0,10.0,40.8,957086.6526138842
8138.83,7.0,5.0,1960.0,3.0,7.16,1486814.4743686817
6491.19,6.0,2.5,1972.0,2.0,3.47,1175035.6541169256
5027.12,8.0,2.3,1971.0,5.0,20.88,996817.0623912781
6956.07,3.0,2.42,1965.0,8.0,19.36,1311028.2368626734
6501.27,3.0,5.64,1978.0,2.0,17.51,1118950.2865566793
6703.62,7.0,3.22,1946.0,9.0,20.99,1350057.8095508101
719.46,5.0,4.5,1921.0,2.0,44.0,193669.13008607528
750.47,2.0,4.09,2019.0,5.0,37.01,271187.54399826506
1700.91,,4.32,1941.0,8.0,27.26,492632.02571967273
4726.03,3.0,3.28,2012.0,9.0,26.92,951148.6723672884
5075.69,2.0,2.83,,9.0,42.47,936552.6103183397
,8.0,,1955.0,10.0,0.86,760561.5641353528
4411.49,7.0,4.57,2006.0,5.0,31.45,880887.1746747886
8099.61,5.0,4.71,1952.0,2.0,14.83,1378264.5100766944
6368.43,8.0,1.1,,2.0,6.69,1129450.4067971432
577.94,1.0,2.71,2002.0,6.0,39.68,191977.3396366574
8513.69,1.0,2.96,1923.0,5.0,41.5,1379896.0625882384
7797.38,8.0,5.97,1994.0,9.0,10.82,1615803.3575727907
9631.53,3.0,1.21,1966.0,8.0,10.34,1674255.945165064
8704.75,2.0,,2001.0,2.0,12.53,1384646.2799297746
6020.23,3.0,1.45,1911.0,6.0,49.85,984863.2875725976
1067.86,2.0,2.16,2000.0,6.0,22.22,296915.5018946904
7047.87,3.0,1.2,1971.0,8.0,9.74,1324432.3814878154
7457.82,3.0,1.78,1933.0,,32.08,1295724.6018108192
,6.0,2.19,1984.0,7.0,34.32,573802.3652184295
1964.25,7.0,1.55,1908.0,3.0,2.05,473790.4820636368
2320.36,7.0,3.63,1932.0,4.0,4.01,633932.0856124812
2483.01,2.0,4.19,1995.0,7.0,39.82,540073.4023212107
6360.87,2.0,1.39,1966.0,4.0,9.88,1100857.7446796019
2863.25,3.0,3.79,1998.0,6.0,35.28,570531.0851180844
1488.97,7.0,4.29,1976.0,6.0,27.73,471964.8746556934
8526.11,7.0,2.62,1969.0,9.0,13.08,1622155.1554957728
4751.25,1.0,3.98,2013.0,5.0,11.13,899602.2089064711
7829.47,5.0,3.56,1973.0,1.0,8.23,1314179.5179278112
8951.44,5.0,1.46,2017.0,2.0,39.75,1387008.7489852125
8344.2,2.0,2.5,1973.0,1.0,17.05,1289465.693559261
4625.89,2.0,2.13,1977.0,7.0,26.46,859967.8077246806
5866.67,4.0,4.37,2024.0,10.0,4.96,1264324.9344756785
7970.5,6.0,3.86,1951.0,7.0,38.8,1429091.5825108811
1781.27,8.0,3.86,1994.0,4.0,38.95,458214.7231713334
9279.31,7.0,2.74,1976.0,5.0,17.81,1606396.868622432
